#,Date,Airport,Business Jet,Business Aviation,Departures,Arrivals,Total Operations,Departure Seats,Average Departure Seats,Arrival Seats,Average Arrival Seats
Sub-Total for No,,,,,"16,000","16,068","32,068","1,503,484",93,"1,509,113",93
158,03/2011,LGA - New York,Yes,Yes,329,338,667,"3,804",11,"3,918",11
Sub-Total for Yes,,,,,377,394,771,"4,170",11,"4,333",10
Sub-Total for LGA - New York,,,,,"16,329","16,406","32,735","1,507,288",92,"1,513,031",92
159,03/2011,MCO - Orlando,No,No,"13,767","13,713","27,480","1,982,946",144,"1,980,422",144
160,03/2011,MCO - Orlando,No,Yes,248,248,496,"1,324",5,"1,285",5
Sub-Total for No,,,,,"14,015","13,961","27,976","1,984,270",141,"1,981,707",141
161,03/2011,MCO - Orlando,Yes,Yes,958,948,"1,906","10,114",10,"10,026",10
Sub-Total for Yes,,,,,"1,206","1,196","2,402","11,438",9,"11,311",9
Sub-Total for MCO - Orlando,,,,,"14,973","14,909","29,882","1,994,384",133,"1,991,733",133
162,03/2011,MIA - Miami,Unknown,Unknown,1,1,2,0,0,0,0
163,03/2011,MIA - Miami,No,No,"15,627","15,620","31,247","2,413,901",154,"2,421,295",155
164,03/2011,MIA - Miami,No,Yes,234,232,466,"1,645",7,"1,670",7
Sub-Total for No,,,,,"15,861","15,852","31,713","2,415,546",152,"2,422,965",152
165,03/2011,MIA - Miami,Yes,Yes,"1,307","1,331","2,638","14,403",11,"14,595",10
Sub-Total for Yes,,,,,"1,541","1,563","3,104","16,048",10,"16,265",10
Sub-Total for MIA - Miami,,,,,"17,169","17,184","34,353","2,429,949",141,"2,437,560",141
166,03/2011,MSP - Minneapolis,No,No,"18,041","18,020","36,061","1,815,786",100,"1,740,098",96
167,03/2011,MSP - Minneapolis,No,Yes,244,230,474,"1,227",5,"1,158",5
Sub-Total for No,,,,,"18,285","18,250","36,535","1,817,013",99,"1,741,256",95
168,03/2011,MSP - Minneapolis,Yes,Yes,624,606,"1,230","6,758",10,"6,602",10
Sub-Total for Yes,,,,,868,836,"1,704","7,985",9,"7,760",9
Sub-Total for MSP - Minneapolis,,,,,"18,909","18,856","37,765","1,823,771",96,"1,747,858",92
169,03/2011,ORD - Chicago,No,No,"37,618","37,606","75,224","3,884,113",103,"3,909,317",103
170,03/2011,ORD - Chicago,No,Yes,194,192,386,"2,247",11,"2,207",11
Sub-Total for No,,,,,"37,812","37,798","75,610","3,886,360",102,"3,911,524",103
171,03/2011,ORD - Chicago,Yes,Yes,338,347,685,"3,699",10,"3,776",10
Sub-Total for Yes,,,,,532,539,"1,071","5,946",11,"5,983",11
Sub-Total for ORD - Chicago,,,,,"38,150","38,145","76,295","3,890,059",101,"3,915,300",102
172,03/2011,PHL - Philadelphia,No,No,"18,607","18,572","37,179","1,761,632",94,"1,759,864",94
173,03/2011,PHL - Philadelphia,No,Yes,155,160,315,998,6,"1,026",6
Sub-Total for No,,,,,"18,762","18,732","37,494","1,762,630",93,"1,760,890",94
174,03/2011,PHL - Philadelphia,Yes,Yes,714,711,"1,425","7,712",10,"7,678",10
Sub-Total for Yes,,,,,869,871,"1,740","8,710",10,"8,704",9
Sub-Total for PHL - Philadelphia,,,,,"19,476","19,443","38,919","1,770,342",90,"1,768,568",90
175,03/2011,PHX - Phoenix,No,No,"19,415","19,074","38,489","2,360,041",121,"2,355,611",123
176,03/2011,PHX - Phoenix,No,Yes,628,476,"1,104","2,668",4,"1,788",3
Sub-Total for No,,,,,"20,043","19,550","39,593","2,362,709",117,"2,357,399",120
177,03/2011,PHX - Phoenix,Yes,Yes,739,739,"1,478","7,178",9,"7,204",9
Sub-Total for Yes,,,,,"1,367","1,215","2,582","9,846",7,"8,992",7
Sub-Total for PHX - Phoenix,,,,,"20,782","20,289","41,071","2,369,887",114,"2,364,603",116
178,03/2011,SEA - Seattle,No,No,"12,383","12,359","24,742","1,613,267",130,"1,608,247",130
179,03/2011,SEA - Seattle,No,Yes,131,140,271,62,0,47,0
Sub-Total for No,,,,,"12,514","12,499","25,013","1,613,329",128,"1,608,294",128
180,03/2011,SEA - Seattle,Yes,Yes,71,65,136,795,11,715,11
Sub-Total for Yes,,,,,202,205,407,857,4,762,3
Sub-Total for SEA - Seattle,,,,,"12,585","12,564","25,149","1,614,124",128,"1,609,009",128
181,03/2011,SFO - San Francisco,No,No,"15,273","15,254","30,527","2,134,819",139,"2,133,785",139
182,03/2011,SFO - San Francisco,No,Yes,151,154,305,"1,023",6,"1,040",6
Sub-Total for No,,,,,"15,424","15,408","30,832","2,135,842",138,"2,134,825",138
183,03/2011,SFO - San Francisco,Yes,Yes,908,922,"1,830","10,385",11,"10,582",11
Sub-Total for Yes,,,,,"1,059","1,076","2,135","11,408",10,"11,622",10
Sub-Total for SFO - San Francisco,,,,,"16,332","16,330","32,662","2,146,227",131,"2,145,407",131
Sub-Total for 03/2011,,,,,"431,222","429,678","860,900","49,045,791",113,"48,945,551",113
184,04/2011,ATL - Atlanta,No,No,"37,713","37,546","75,259","4,882,688",129,"4,869,661",129
185,04/2011,ATL - Atlanta,No,Yes,269,266,535,"3,034",11,"3,023",11
Sub-Total for No,,,,,"37,982","37,812","75,794","4,885,722",128,"4,872,684",128
186,04/2011,ATL - Atlanta,Yes,Yes,214,211,425,"2,198",10,"2,177",10
Sub-Total for Yes,,,,,483,477,960,"5,232",10,"5,200",10
Sub-Total for ATL - Atlanta,,,,,"38,196","38,023","76,219","4,887,920",127,"4,874,861",128
187,04/2011,BOS - Boston,No,No,"13,237","13,193","26,430","1,630,186",123,"1,631,104",123
188,04/2011,BOS - Boston,No,Yes,"1,184",901,"2,085","5,477",4,"4,364",4
Sub-Total for No,,,,,"14,421","14,094","28,515","1,635,663",113,"1,635,468",116
189,04/2011,BOS - Boston,Yes,Yes,793,794,"1,587","8,760",11,"8,731",10
Sub-Total for Yes,,,,,"1,977","1,695","3,672","14,237",7,"13,095",7
Sub-Total for BOS - Boston,,,,,"15,214","14,888","30,102","1,644,423",108,"1,644,199",110
190,04/2011,CLT - Charlotte,No,No,"21,583","21,574","43,157","2,074,460",96,"2,075,758",96
191,04/2011,CLT - Charlotte,No,Yes,376,378,754,"2,557",6,"2,546",6
Sub-Total for No,,,,,"21,959","21,952","43,911","2,077,017",94,"2,078,304",94
192,04/2011,CLT - Charlotte,Yes,Yes,790,789,"1,579","8,465",10,"8,472",10
Sub-Total for Yes,,,,,"1,166","1,167","2,333","11,022",9,"11,018",9
Sub-Total for CLT - Charlotte,,,,,"22,749","22,741","45,490","2,085,482",91,"2,086,776",91
193,04/2011,DEN - Denver,No,No,"25,640","25,606","51,246","2,577,604",100,"2,572,583",100
194,04/2011,DEN - Denver,No,Yes,156,148,304,"1,213",7,"1,168",7
Sub-Total for No,,,,,"25,796","25,754","51,550","2,578,817",99,"2,573,751",99
195,04/2011,DEN - Denver,Yes,Yes,131,125,256,"1,415",10,"1,363",10
Sub-Total for Yes,,,,,287,273,560,"2,628",9,"2,531",9
Sub-Total for DEN - Denver,,,,,"25,927","25,879","51,806","2,580,232",99,"2,575,114",99
196,04/2011,DFW - Dallas/Ft. Worth,No,No,"26,028","26,025","52,053","3,097,432",119,"3,103,706",119
197,04/2011,DFW - Dallas/Ft. Worth,No,Yes,184,170,354,"2,085",11,"1,929",11
Sub-Total for No,,,,,"26,212","26,195","52,407","3,099,517",118,"3,105,635",118
198,04/2011,DFW - Dallas/Ft. Worth,Yes,Yes,223,231,454,"2,330",10,"2,376",10
Sub-Total for Yes,,,,,407,401,808,"4,415",10,"4,305",10
Sub-Total for DFW - Dallas/Ft. Worth,,,,,"26,435","26,426","52,861","3,101,847",117,"3,108,011",117
199,04/2011,DTW - Detroit,No,No,"18,233","18,109","36,342","1,725,577",94,"1,721,266",95
200,04/2011,DTW - Detroit,No,Yes,60,61,121,379,6,378,6
Sub-Total for No,,,,,"18,293","18,170","36,463","1,725,956",94,"1,721,644",94
201,04/2011,DTW - Detroit,Yes,Yes,220,226,446,"2,311",10,"2,345",10
Sub-Total for Yes,,,,,280,287,567,"2,690",9,"2,723",9
Sub-Total for DTW - Detroit,,,,,"18,513","18,396","36,909","1,728,267",93,"1,723,989",93
202,04/2011,EWR - Newark,No,No,"16,714","16,821","33,535","2,021,899",120,"2,039,648",121
203,04/2011,EWR - Newark,No,Yes,234,230,464,"2,184",9,"2,164",9
Sub-Total for No,,,,,"16,948","17,051","33,999","2,024,083",119,"2,041,812",119
204,04/2011,EWR - Newark,Yes,Yes,231,236,467,"2,556",11,"2,623",11
Sub-Total for Yes,,,,,465,466,931,"4,740",10,"4,787",10
Sub-Total for EWR - Newark,,,,,"17,179","17,287","34,466","2,026,639",117,"2,044,435",118
205,04/2011,IAH - Houston,No,No,"21,473","21,233","42,706","2,168,987",101,"2,146,490",101
206,04/2011,IAH - Houston,No,Yes,217,126,343,"1,764",8,"1,244",9
Sub-Total for No,,,,,"21,690","21,359","43,049","2,170,751",100,"2,147,734",100
207,04/2011,IAH - Houston,Yes,Yes,550,538,"1,088","6,032",10,"5,855",10
Sub-Total for Yes,,,,,767,664,"1,431","7,796",10,"7,099",10
Sub-Total for IAH - Houston,,,,,"22,240","21,897","44,137","2,176,783",97,"2,153,589",98
208,04/2011,JFK - New York,No,No,"16,889","16,963","33,852","2,767,947",163,"2,777,539",163
209,04/2011,JFK - New York,No,Yes,25,29,54,169,6,204,7
Sub-Total for No,,,,,"16,914","16,992","33,906","2,768,116",163,"2,777,743",163
210,04/2011,JFK - New York,Yes,Yes,207,216,423,"2,228",10,"2,336",10
Sub-Total for Yes,,,,,232,245,477,"2,397",10,"2,540",10
Sub-Total for JFK - New York,,,,,"17,121","17,208","34,329","2,770,344",161,"2,780,079",161
211,04/2011,LAS - Las Vegas,Unknown,Unknown,1,0,1,0,0,0,0
212,04/2011,LAS - Las Vegas,No,No,"15,023","15,060","30,083","2,074,083",138,"2,075,692",137
213,04/2011,LAS - Las Vegas,No,Yes,334,336,670,"2,587",7,"2,536",7
Sub-Total for No,,,,,"15,357","15,396","30,753","2,076,670",135,"2,078,228",134
214,04/2011,LAS - Las Vegas,Yes,Yes,"1,739","1,760","3,499","18,530",10,"18,902",10
Sub-Total for Yes,,,,,"2,073","2,096","4,169","21,117",10,"21,438",10
Sub-Total for LAS - Las Vegas,,,,,"17,097","17,156","34,253","2,095,200",122,"2,097,130",122
215,04/2011,LAX - Los Angeles,No,No,"23,849","23,799","47,648","3,327,694",139,"3,323,850",139
216,04/2011,LAX - Los Angeles,No,Yes,52,52,104,389,7,382,7
Sub-Total for No,,,,,"23,901","23,851","47,752","3,328,083",139,"3,324,232",139
217,04/2011,LAX - Los Angeles,Yes,Yes,721,726,"1,447","8,317",11,"8,422",11
Sub-Total for Yes,,,,,773,778,"1,551","8,706",11,"8,804",11
Sub-Total for LAX - Los Angeles,,,,,"24,622","24,577","49,199","3,336,400",135,"3,332,654",135
218,04/2011,LGA - New York,No,No,"14,922","14,935","29,857","1,421,389",95,"1,423,296",95
219,04/2011,LGA - New York,No,Yes,54,58,112,376,6,436,7
Sub-Total for No,,,,,"14,976","14,993","29,969","1,421,765",94,"1,423,732",94
220,04/2011,LGA - New York,Yes,Yes,324,342,666,"3,669",11,"3,830",11
Sub-Total for Yes,,,,,378,400,778,"4,045",10,"4,266",10
Sub-Total for LGA - New York,,,,,"15,300","15,335","30,635","1,425,434",93,"1,427,562",93
221,04/2011,MCO - Orlando,No,No,"13,357","13,315","26,672","1,924,300",144,"1,923,865",144
222,04/2011,MCO - Orlando,No,Yes,245,229,474,"1,279",5,"1,225",5
Sub-Total for No,,,,,"13,602","13,544","27,146","1,925,579",141,"1,925,090",142
223,04/2011,MCO - Orlando,Yes,Yes,769,741,"1,510","8,032",10,"7,716",10
Sub-Total for Yes,,,,,"1,014",970,"1,984","9,311",9,"8,941",9
Sub-Total for MCO - Orlando,,,,,"14,371","14,285","28,656","1,933,611",134,"1,932,806",135
224,04/2011,MIA - Miami,No,No,"15,335","15,266","30,601","2,400,150",156,"2,401,251",157
225,04/2011,MIA - Miami,No,Yes,194,165,359,"1,376",7,"1,239",7
Sub-Total for No,,,,,"15,529","15,431","30,960","2,401,526",154,"2,402,490",155
226,04/2011,MIA - Miami,Yes,Yes,"1,061","1,080","2,141","11,595",10,"11,605",10
Sub-Total for Yes,,,,,"1,255","1,245","2,500","12,971",10,"12,844",10
Sub-Total for MIA - Miami,,,,,"16,590","16,511","33,101","2,413,121",145,"2,414,095",146
227,04/2011,MSP - Minneapolis,No,No,"17,038","17,003","34,041","1,693,336",99,"1,510,738",88
228,04/2011,MSP - Minneapolis,No,Yes,253,211,464,"1,259",4,"1,056",5
Sub-Total for No,,,,,"17,291","17,214","34,505","1,694,595",98,"1,511,794",87
229,04/2011,MSP - Minneapolis,Yes,Yes,680,611,"1,291","7,449",10,"6,684",10
Sub-Total for Yes,,,,,933,822,"1,755","8,708",9,"7,740",9
Sub-Total for MSP - Minneapolis,,,,,"17,971","17,825","35,796","1,702,044",94,"1,518,478",85
230,04/2011,ORD - Chicago,No,No,"35,652","35,633","71,285","3,666,314",102,"3,730,618",104
231,04/2011,ORD - Chicago,No,Yes,189,188,377,"2,124",11,"2,110",11
Sub-Total for No,,,,,"35,841","35,821","71,662","3,668,438",102,"3,732,728",104
232,04/2011,ORD - Chicago,Yes,Yes,351,357,708,"3,814",10,"3,873",10
Sub-Total for Yes,,,,,540,545,"1,085","5,938",10,"5,983",10
Sub-Total for ORD - Chicago,,,,,"36,192","36,178","72,370","3,672,252",101,"3,736,601",103
233,04/2011,PHL - Philadelphia,No,No,"17,589","17,541","35,130","1,663,202",94,"1,663,317",94
234,04/2011,PHL - Philadelphia,No,Yes,187,191,378,"1,176",6,"1,216",6
Sub-Total for No,,,,,"17,776","17,732","35,508","1,664,378",93,"1,664,533",93
235,04/2011,PHL - Philadelphia,Yes,Yes,706,717,"1,423","7,650",10,"7,770",10
Sub-Total for Yes,,,,,893,908,"1,801","8,826",9,"8,986",9
Sub-Total for PHL - Philadelphia,,,,,"18,482","18,449","36,931","1,672,028",90,"1,672,303",90
236,04/2011,PHX - Phoenix,No,No,"18,512","18,183","36,695","2,233,604",120,"2,225,873",122
237,04/2011,PHX - Phoenix,No,Yes,585,410,995,"2,477",4,"1,528",3
Sub-Total for No,,,,,"19,097","18,593","37,690","2,236,081",117,"2,227,401",119
238,04/2011,PHX - Phoenix,Yes,Yes,640,637,"1,277","6,272",9,"6,209",9
Sub-Total for Yes,,,,,"1,225","1,047","2,272","8,749",7,"7,737",7
Sub-Total for PHX - Phoenix,,,,,"19,737","19,230","38,967","2,242,353",113,"2,233,610",116
239,04/2011,SEA - Seattle,No,No,"12,144","12,136","24,280","1,593,061",131,"1,589,453",130
240,04/2011,SEA - Seattle,No,Yes,117,128,245,42,0,42,0
Sub-Total for No,,,,,"12,261","12,264","24,525","1,593,103",129,"1,589,495",129
241,04/2011,SEA - Seattle,Yes,Yes,67,73,140,786,11,832,11
Sub-Total for Yes,,,,,184,201,385,828,4,874,4
Sub-Total for SEA - Seattle,,,,,"12,328","12,337","24,665","1,593,889",129,"1,590,327",128
242,04/2011,SFO - San Francisco,No,No,"14,963","14,944","29,907","2,108,212",140,"2,101,785",140
243,04/2011,SFO - San Francisco,No,Yes,124,130,254,903,7,953,7
Sub-Total for No,,,,,"15,087","15,074","30,161","2,109,115",139,"2,102,738",139
244,04/2011,SFO - San Francisco,Yes,Yes,823,834,"1,657","9,420",11,"9,527",11
Sub-Total for Yes,,,,,947,964,"1,911","10,323",10,"10,480",10
Sub-Total for SFO - San Francisco,,,,,"15,910","15,908","31,818","2,118,535",133,"2,112,265",132
Sub-Total for 04/2011,,,,,"412,174","410,536","822,710","47,206,804",114,"47,058,884",114
245,05/2011,ATL - Atlanta,No,No,"39,448","39,427","78,875","5,119,560",129,"5,125,823",130
246,05/2011,ATL - Atlanta,No,Yes,239,225,464,"2,705",11,"2,611",11
Sub-Total for No,,,,,"39,687","39,652","79,339","5,122,265",129,"5,128,434",129
247,05/2011,ATL - Atlanta,Yes,Yes,221,216,437,"2,125",9,"2,091",9
Sub-Total for Yes,,,,,460,441,901,"4,830",10,"4,702",10
Sub-Total for ATL - Atlanta,,,,,"39,908","39,868","79,776","5,124,390",128,"5,130,525",128
248,05/2011,BOS - Boston,No,No,"13,480","13,637","27,117","1,669,703",123,"1,679,931",123
249,05/2011,BOS - Boston,No,Yes,"1,668","1,490","3,158","7,662",4,"6,930",4
Sub-Total for No,,,,,"15,148","15,127","30,275","1,677,365",110,"1,686,861",111
250,05/2011,BOS - Boston,Yes,Yes,971,990,"1,961","10,652",10,"10,913",11
Sub-Total for Yes,,,,,"2,639","2,480","5,119","18,314",6,"17,843",7
Sub-Total for BOS - Boston,,,,,"16,119","16,117","32,236","1,688,017",104,"1,697,774",105
251,05/2011,CLT - Charlotte,No,No,"22,186","22,170","44,356","2,153,137",97,"2,152,314",97
252,05/2011,CLT - Charlotte,No,Yes,415,422,837,"2,788",6,"2,867",6
Sub-Total for No,,,,,"22,601","22,592","45,193","2,155,925",95,"2,155,181",95
253,05/2011,CLT - Charlotte,Yes,Yes,980,982,"1,962","10,466",10,"10,426",10
Sub-Total for Yes,,,,,"1,395","1,404","2,799","13,254",9,"13,293",9
Sub-Total for CLT - Charlotte,,,,,"23,581","23,574","47,155","2,166,391",91,"2,165,607",91
254,05/2011,DEN - Denver,No,No,"26,510","26,493","53,003","2,684,094",101,"2,683,850",101
255,05/2011,DEN - Denver,No,Yes,162,158,320,"1,238",7,"1,219",7
Sub-Total for No,,,,,"26,672","26,651","53,323","2,685,332",100,"2,685,069",100
256,05/2011,DEN - Denver,Yes,Yes,116,119,235,"1,229",10,"1,258",10
Sub-Total for Yes,,,,,278,277,555,"2,467",8,"2,477",8
Sub-Total for DEN - Denver,,,,,"26,788","26,770","53,558","2,686,561",100,"2,686,327",100
257,05/2011,DFW - Dallas/Ft. Worth,No,No,"26,009","26,107","52,116","3,104,718",119,"3,125,117",119
258,05/2011,DFW - Dallas/Ft. Worth,No,Yes,169,157,326,"1,956",11,"1,754",11
Sub-Total for No,,,,,"26,178","26,264","52,442","3,106,674",118,"3,126,871",119
259,05/2011,DFW - Dallas/Ft. Worth,Yes,Yes,232,234,466,"2,378",10,"2,410",10
Sub-Total for Yes,,,,,401,391,792,"4,334",10,"4,164",10
Sub-Total for DFW - Dallas/Ft. Worth,,,,,"26,410","26,498","52,908","3,109,052",117,"3,129,281",118
260,05/2011,DTW - Detroit,No,No,"18,288","18,242","36,530","1,733,269",94,"1,732,061",94
261,05/2011,DTW - Detroit,No,Yes,65,62,127,434,6,425,6
Sub-Total for No,,,,,"18,353","18,304","36,657","1,733,703",94,"1,732,486",94
262,05/2011,DTW - Detroit,Yes,Yes,281,272,553,"2,864",10,"2,812",10
Sub-Total for Yes,,,,,346,334,680,"3,298",9,"3,237",9
Sub-Total for DTW - Detroit,,,,,"18,634","18,576","37,210","1,736,567",93,"1,735,298",93
263,05/2011,EWR - Newark,No,No,"16,890","16,940","33,830","2,017,150",119,"2,029,404",119
264,05/2011,EWR - Newark,No,Yes,248,257,505,"2,233",9,"2,348",9
Sub-Total for No,,,,,"17,138","17,197","34,335","2,019,383",117,"2,031,752",118
265,05/2011,EWR - Newark,Yes,Yes,270,285,555,"3,135",11,"3,282",11
Sub-Total for Yes,,,,,518,542,"1,060","5,368",10,"5,630",10
Sub-Total for EWR - Newark,,,,,"17,408","17,482","34,890","2,022,518",116,"2,035,034",116
266,05/2011,IAH - Houston,No,No,"22,089","21,931","44,020","2,247,885",101,"2,235,105",101
267,05/2011,IAH - Houston,No,Yes,209,138,347,"1,762",8,"1,354",9
Sub-Total for No,,,,,"22,298","22,069","44,367","2,249,647",100,"2,236,459",101
268,05/2011,IAH - Houston,Yes,Yes,531,534,"1,065","5,834",10,"5,884",11
Sub-Total for Yes,,,,,740,672,"1,412","7,596",10,"7,238",10
Sub-Total for IAH - Houston,,,,,"22,829","22,603","45,432","2,255,481",98,"2,242,343",99
269,05/2011,JFK - New York,No,No,"17,349","17,389","34,738","2,834,405",163,"2,838,629",163
270,05/2011,JFK - New York,No,Yes,29,31,60,204,7,205,6
Sub-Total for No,,,,,"17,378","17,420","34,798","2,834,609",163,"2,838,834",162
271,05/2011,JFK - New York,Yes,Yes,256,259,515,"2,817",11,"2,848",10
Sub-Total for Yes,,,,,285,290,575,"3,021",10,"3,053",10
Sub-Total for JFK - New York,,,,,"17,634","17,679","35,313","2,837,426",160,"2,841,682",160
272,05/2011,LAS - Las Vegas,No,No,"15,804","15,796","31,600","2,173,946",137,"2,168,354",137
273,05/2011,LAS - Las Vegas,No,Yes,383,395,778,"2,941",7,"2,998",7
Sub-Total for No,,,,,"16,187","16,191","32,378","2,176,887",134,"2,171,352",134
274,05/2011,LAS - Las Vegas,Yes,Yes,"2,363","2,296","4,659","26,069",11,"25,185",10
Sub-Total for Yes,,,,,"2,746","2,691","5,437","29,010",10,"28,183",10
Sub-Total for LAS - Las Vegas,,,,,"18,550","18,487","37,037","2,202,956",118,"2,196,537",118
275,05/2011,LAX - Los Angeles,No,No,"24,812","24,766","49,578","3,465,698",139,"3,453,734",139
276,05/2011,LAX - Los Angeles,No,Yes,47,44,91,358,7,332,7
Sub-Total for No,,,,,"24,859","24,810","49,669","3,466,056",139,"3,454,066",139
277,05/2011,LAX - Los Angeles,Yes,Yes,767,762,"1,529","9,190",11,"9,135",11
Sub-Total for Yes,,,,,814,806,"1,620","9,548",11,"9,467",11
Sub-Total for LAX - Los Angeles,,,,,"25,626","25,572","51,198","3,475,246",135,"3,463,201",135
278,05/2011,LGA - New York,No,No,"15,746","15,756","31,502","1,493,401",94,"1,493,987",94
279,05/2011,LGA - New York,No,Yes,59,71,130,483,8,615,8
Sub-Total for No,,,,,"15,805","15,827","31,632","1,493,884",94,"1,494,602",94
280,05/2011,LGA - New York,Yes,Yes,309,327,636,"3,602",11,"3,842",11
Sub-Total for Yes,,,,,368,398,766,"4,085",11,"4,457",11
Sub-Total for LGA - New York,,,,,"16,114","16,154","32,268","1,497,486",92,"1,498,444",92
281,05/2011,MCO - Orlando,No,No,"12,525","12,488","25,013","1,794,422",143,"1,792,450",143
282,05/2011,MCO - Orlando,No,Yes,240,233,473,"1,312",5,"1,274",5
Sub-Total for No,,,,,"12,765","12,721","25,486","1,795,734",140,"1,793,724",141
283,05/2011,MCO - Orlando,Yes,Yes,592,594,"1,186","5,869",9,"5,903",9
Sub-Total for Yes,,,,,832,827,"1,659","7,181",8,"7,177",8
Sub-Total for MCO - Orlando,,,,,"13,357","13,315","26,672","1,801,603",134,"1,799,627",135
284,05/2011,MIA - Miami,No,No,"15,237","15,173","30,410","2,356,097",154,"2,357,988",155
285,05/2011,MIA - Miami,No,Yes,190,169,359,"1,255",6,"1,149",6
Sub-Total for No,,,,,"15,427","15,342","30,769","2,357,352",152,"2,359,137",153
286,05/2011,MIA - Miami,Yes,Yes,791,840,"1,631","8,641",10,"9,077",10
Sub-Total for Yes,,,,,981,"1,009","1,990","9,896",10,"10,226",10
Sub-Total for MIA - Miami,,,,,"16,218","16,182","32,400","2,365,993",145,"2,368,214",146
287,05/2011,MSP - Minneapolis,No,No,"17,547","17,404","34,951","1,741,640",99,"1,688,928",97
288,05/2011,MSP - Minneapolis,No,Yes,211,222,433,"1,030",4,"1,097",4
Sub-Total for No,,,,,"17,758","17,626","35,384","1,742,670",98,"1,690,025",95
289,05/2011,MSP - Minneapolis,Yes,Yes,692,678,"1,370","7,454",10,"7,326",10
Sub-Total for Yes,,,,,903,900,"1,803","8,484",9,"8,423",9
Sub-Total for MSP - Minneapolis,,,,,"18,450","18,304","36,754","1,750,124",94,"1,697,351",92
290,05/2011,ORD - Chicago,No,No,"36,467","36,476","72,943","3,805,159",104,"3,828,287",104
291,05/2011,ORD - Chicago,No,Yes,196,200,396,"2,132",10,"2,156",10
Sub-Total for No,,,,,"36,663","36,676","73,339","3,807,291",103,"3,830,443",104
292,05/2011,ORD - Chicago,Yes,Yes,357,369,726,"4,075",11,"4,188",11
Sub-Total for Yes,,,,,553,569,"1,122","6,207",11,"6,344",11
Sub-Total for ORD - Chicago,,,,,"37,020","37,045","74,065","3,811,366",102,"3,834,631",103
293,05/2011,PHL - Philadelphia,No,No,"18,304","18,221","36,525","1,722,564",94,"1,718,755",94
294,05/2011,PHL - Philadelphia,No,Yes,209,202,411,"1,385",6,"1,327",6
Sub-Total for No,,,,,"18,513","18,423","36,936","1,723,949",93,"1,720,082",93
295,05/2011,PHL - Philadelphia,Yes,Yes,848,858,"1,706","9,186",10,"9,210",10
Sub-Total for Yes,,,,,"1,057","1,060","2,117","10,571",10,"10,537",9
Sub-Total for PHL - Philadelphia,,,,,"19,361","19,281","38,642","1,733,135",89,"1,729,292",89
