Date,Facility,Total_ops,Total Delays,TMI_to,Dep,Abrn,TMI_from_local,TMI_from_non_local,Total_occ_at,Total_local_dep,Abrn_dest_to_Delays,Class_AC,Class_AT,Class_GA,Class_Mil,Cause_Wx,Cause_Vol,Cause_Equip,Cause_Rwy,Cause_Other,Avg_delay_time,Total_delay_time
01/10/2011,LGA,1075,9,9,0,0,0,0,0,0,0,6,3,0,0,0,9,0,0,0,20,180
01/10/2011,MCO,819,1,1,0,0,0,1,1,0,2,1,0,0,0,0,1,0,0,0,18,18
01/10/2011,MIA,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2011,MSP,1138,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
01/10/2011,ORD,2387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2011,PHL,1182,3,3,0,0,0,1,1,0,0,3,0,0,0,0,3,0,0,0,33,99
01/10/2011,PHX,1299,21,4,17,0,0,0,17,17,0,20,1,0,0,0,4,0,17,0,19,399
01/10/2011,SEA,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2011,SFO,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub-Total for 01/10/2011,,23936,74,57,17,0,23,13,53,40,35,58,15,1,0,27,30,0,17,0,26,1924
01/11/2011,ATL,755,3,3,0,0,0,6,6,0,0,3,0,0,0,0,3,0,0,0,51,153
01/11/2011,BOS,856,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/2011,CLT,233,3,3,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,3,59,177
01/11/2011,DEN,1724,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/2011,DFW,1735,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/2011,DTW,1118,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/2011,EWR,924,20,4,16,0,0,14,30,16,0,16,4,0,0,0,20,0,0,0,17,340
01/11/2011,IAH,1292,6,0,6,0,0,10,16,6,0,6,0,0,0,6,0,0,0,0,16,96
01/11/2011,JFK,951,3,3,0,0,0,2,2,0,0,3,0,0,0,0,3,0,0,0,22,66
01/11/2011,LAS,1211,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/2011,LAX,1477,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/2011,LGA,915,0,0,0,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/2011,MCO,822,1,0,0,1,0,8,9,0,0,0,1,0,0,1,0,0,0,0,24,24
01/11/2011,MIA,1004,34,5,24,5,0,11,40,24,52,33,0,1,0,33,0,0,0,1,65,2210
01/11/2011,MSP,1160,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/2011,ORD,1739,743,616,127,0,0,1,128,127,92,501,240,2,0,743,0,0,0,0,106,78758
01/11/2011,PHL,1019,1,1,0,0,0,12,12,0,0,1,0,0,0,0,1,0,0,0,19,19
01/11/2011,PHX,1416,111,3,108,0,0,8,116,108,0,95,0,15,1,0,111,0,0,0,21,2331
01/11/2011,SEA,776,14,3,11,0,0,6,17,11,38,11,3,0,0,14,0,0,0,0,40,560
01/11/2011,SFO,1029,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub-Total for 01/11/2011,,22156,939,641,292,6,0,212,510,292,182,672,248,18,1,797,138,0,0,4,90.24,84734
01/12/2011,ATL,2011,2,2,0,0,0,1,1,0,0,2,0,0,0,0,2,0,0,0,74,148
01/12/2011,BOS,131,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
